"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_1x10_P1.00mm_Vertical";1;"Conn_01x10_Pin";;;
2;"BT4,BT3,BT2,BT1";"PinHeader_1x02_P1.00mm_Horizontal";4;"Battery_Cell";;;
3;"C5,C6";"C_0402_1005Metric";2;"C";;;
4;"R31,R30,R15,R14";"R_0402_1005Metric";4;"56k";;;
5;"R29,R16,R23,R17,R19,R21,R22,R27,R18,R20";"R_0402_1005Metric";10;"10k";;;
6;"R28,R13,R12,R26";"R_0402_1005Metric";4;"33k";;;
7;"C16";"C_0402_1005Metric";1;"100nF";;;
8;"C15";"C_0402_1005Metric";1;"10uF";;;
9;"U4";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
10;"R1,R7,R3,R5";"R_0402_1005Metric";4;"390";;;
11;"D1,D2";"D_0402_1005Metric";2;"D_Schottky";;;
12;"J2,J1";"PinSocket_1x19_P2.54mm_Vertical";2;"Conn_01x19_Socket";;;
13;"U2,U3";"INA121UAE4";2;"INA121UAE4";;;
14;"U1";"MSOP-8_3x3mm_P0.65mm";1;"AD8620";;;
15;"J4,J3";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";2;"AudioJack3";;;
16;"TP3,TP1,TP2,TP4";"TestPoint_Pad_1.0x1.0mm";4;"TestPoint";;;
17;"R11";"R_0402_1005Metric";1;"390k";;;
18;"R10";"R_0402_1005Metric";1;"390K";;;
19;"R9";"R_0402_1005Metric";1;"10K";;;
20;"R8,R6,R4,R2";"R_0402_1005Metric";4;"15";;;
21;"IC2,IC1";"SOP50P490X110-10N";2;"OPA2890IDGST";;;
22;"C9,C8,C7,C12,C11,C10";"C_0402_1005Metric";6;"390n";;;
23;"C4,C3,C2,C1";"C_0402_1005Metric";4;"100n";;;
24;"FID1,FID2,FID3";"Fiducial_0.5mm_Mask1.5mm";3;"Fiducial";;;
25;"R25,R24";"R_0402_1005Metric";2;"5k8";;;
26;"C14,C13";"C_0402_1005Metric";2;"10n";;;
